#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","Time"
"netprofm","Network List Service","Running","Manual","12-19-2025 02:20:54"
"NetSetupSvc","Network Setup Service","Stopped","Manual","12-19-2025 02:20:54"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","12-19-2025 02:20:54"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","12-19-2025 02:20:54"
"NgcSvc","Microsoft Passport","Running","Manual","12-19-2025 02:20:54"
"NlaSvc","Network Location Awareness","Stopped","Manual","12-19-2025 02:20:54"
"NPSMSvc_fd7af","Now Playing Session Manager Service_fd7af","Running","Manual","12-19-2025 02:20:54"
"nsi","Network Store Interface Service","Running","Automatic","12-19-2025 02:20:54"
"nvagent","Network Virtualization Service","Running","Manual","12-19-2025 02:20:54"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Automatic","12-19-2025 02:20:54"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic","12-19-2025 02:20:54"
"OneSyncSvc_fd7af","Sync Host_fd7af","Running","Automatic","12-19-2025 02:20:54"
"P9RdrService_fd7af","P9RdrService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic","12-19-2025 02:20:54"
"PenService_fd7af","PenService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","12-19-2025 02:20:54"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","12-19-2025 02:20:54"
"PhoneSvc","Phone Service","Running","Manual","12-19-2025 02:20:54"
"PimIndexMaintenanceSvc_fd7af","Contact Data_fd7af","Running","Manual","12-19-2025 02:20:54"
"pla","Performance Logs & Alerts","Stopped","Manual","12-19-2025 02:20:54"
"PlugPlay","Plug and Play","Running","Manual","12-19-2025 02:20:54"
"PolicyAgent","IPsec Policy Agent","Running","Manual","12-19-2025 02:20:54"
"Power","Power","Running","Automatic","12-19-2025 02:20:54"
"Power_a17007","Power_a17007","Running","Automatic","12-19-2025 02:20:54"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual","12-19-2025 02:20:54"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","12-19-2025 02:20:54"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual","12-19-2025 02:20:54"
"PrintWorkflowUserSvc_fd7af","PrintWorkflow_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"ProductAgentService","ProductAgentService","Running","Automatic","12-19-2025 02:20:54"
"ProfSvc","User Profile Service","Running","Automatic","12-19-2025 02:20:54"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","12-19-2025 02:20:54"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","12-19-2025 02:20:54"
"RasAuto","Remote Access Auto Connection Manager","Running","Manual","12-19-2025 02:20:54"
"RasMan","Remote Access Connection Manager","Running","Automatic","12-19-2025 02:20:54"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual","12-19-2025 02:20:54"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","12-19-2025 02:20:54"
"RemoteRegistry","Remote Registry","Stopped","Automatic","12-19-2025 02:20:54"
"RetailDemo","Retail Demo Service","Stopped","Manual","12-19-2025 02:20:54"
"RmSvc","Radio Management Service","Running","Manual","12-19-2025 02:20:54"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic","12-19-2025 02:20:54"
"RpcLocator","Remote Procedure Call (RPC) Locator","Running","Manual","12-19-2025 02:20:54"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic","12-19-2025 02:20:54"
"SamSs","Security Accounts Manager","Running","Automatic","12-19-2025 02:20:54"
"SCardSvr","Smart Card","Stopped","Manual","12-19-2025 02:20:54"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","12-19-2025 02:20:54"
"Schedule","Task Scheduler","Running","Automatic","12-19-2025 02:20:54"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","12-19-2025 02:20:54"
"SDRSVC","Windows Backup","Stopped","Manual","12-19-2025 02:20:54"
"seclogon","Secondary Logon","Stopped","Manual","12-19-2025 02:20:54"
"SecurityHealthService","Windows Security Service","Running","Manual","12-19-2025 02:20:54"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","12-19-2025 02:20:54"
"SENS","System Event Notification Service","Running","Automatic","12-19-2025 02:20:54"
"SensorDataService","Sensor Data Service","Stopped","Manual","12-19-2025 02:20:54"
"SensorService","Sensor Service","Running","Manual","12-19-2025 02:20:54"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","12-19-2025 02:20:54"
"SessionEnv","Remote Desktop Configuration","Running","Manual","12-19-2025 02:20:54"
"SharedAccess","Internet Connection Sharing (ICS)","Running","Manual","12-19-2025 02:20:54"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic","12-19-2025 02:20:54"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","12-19-2025 02:20:54"
